geojson_name,business_licence_name,canonical_name,notes
Arbutus Ridge,Arbutus-Ridge,Arbutus Ridge,hyphen_diff
Downtown,Downtown,Downtown,
Dunbar-Southlands,Dunbar-Southlands,Dunbar-Southlands,
Fairview,Fairview,Fairview,
Grandview-Woodland,Grandview-Woodland,Grandview-Woodland,
Hastings-Sunrise,Hastings-Sunrise,Hastings-Sunrise,
Kensington-Cedar Cottage,Kensington-Cedar Cottage,Kensington-Cedar Cottage,
Kerrisdale,Kerrisdale,Kerrisdale,
Killarney,Killarney,Killarney,
Kitsilano,Kitsilano,Kitsilano,
Marpole,Marpole,Marpole,
Mount Pleasant,Mount Pleasant,Mount Pleasant,
Oakridge,Oakridge,Oakridge,
Renfrew-Collingwood,Renfrew-Collingwood,Renfrew-Collingwood,
Riley Park,Riley Park,Riley Park,
Shaughnessy,Shaughnessy,Shaughnessy,
South Cambie,South Cambie,South Cambie,
Strathcona,Strathcona,Strathcona,
Sunset,Sunset,Sunset,
Victoria-Fraserview,Victoria-Fraserview,Victoria-Fraserview,
West End,West End,West End,
West Point Grey,West Point Grey,West Point Grey,
